supplier_name,country,category,annual_spend_usd_m,is_single_source,lat,lon,credit_score,payment_delay_days,revenue_volatility_pct,lead_time_variance_pct,defect_rate_ppm,on_time_delivery_pct,political_stability,disaster_risk_index,lpi_score,financial_risk,geographic_risk,operational_risk,concentration_risk,esg_risk,composite_risk_score,risk_tier,tier_label,tier_color,tier_action,disruption_probability,impact_multiplier,disruption_exposure_usd_m,recommendations
Tronox Holdings,USA,Titanium Dioxide,14.2,0,37.09,-95.71,747,27,26.7,15,790,84.4,85,20,4.6,62.1,7.7,34.8,18.2,9.6,31.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.156,1.3,2.88,Request latest audited financials + initiate credit watch | OTD 84.4% below 90% SLA — review logistics SLA contract | Payment delays averaging 27 days — financial stress signal
Evonik Industries,Germany,Superabsorbent Polymers,27.8,0,51.17,10.45,721,35,27.9,16,513,85.0,92,12,4.2,71.9,9.2,19.4,32.0,5.0,30.9,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.152,1.3,5.49,Request latest audited financials + initiate credit watch | OTD 85.0% below 90% SLA — review logistics SLA contract | Payment delays averaging 35 days — financial stress signal
Kolmar Korea,South Korea,Contract Manufacturing,19.8,0,35.91,127.77,771,23,29.4,11,603,90.4,72,35,3.8,58.1,28.9,13.1,39.5,5.0,30.7,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.15,1.3,3.86,No immediate actions — maintain regular review cadence
Kronos Worldwide,Germany,Titanium Dioxide,16.4,0,51.17,10.45,761,18,18.5,15,502,90.2,92,12,4.2,47.9,22.1,28.9,17.4,27.6,30.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.146,1.3,3.11,No immediate actions — maintain regular review cadence
IFF International,USA,Fragrances,28.2,0,37.09,-95.71,756,24,30.6,8,476,85.0,85,20,4.6,57.9,21.9,13.6,33.1,18.1,29.7,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.139,1.3,5.1,OTD 85.0% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Geodis,France,Logistics,38.2,0,46.23,2.21,774,32,36.0,16,600,89.9,83,15,3.8,54.5,17.3,16.4,35.5,15.7,28.9,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.13,1.3,6.46,Payment delays averaging 32 days — financial stress signal | Strategic partner — explore preferred supplier program & cost-down collaboration
Venator Materials,UK,Titanium Dioxide,18.9,0,55.38,-3.44,779,29,36.7,26,671,86.9,89,10,4.0,67.6,15.3,16.5,13.1,15.3,28.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.125,1.3,3.07,Request latest audited financials + initiate credit watch | OTD 86.9% below 90% SLA — review logistics SLA contract | Payment delays averaging 29 days — financial stress signal | Strategic partner — explore preferred supplier program & cost-down collaboration
Sealed Air Corp,USA,Packaging,41.2,0,37.09,-95.71,819,10,23.2,12,498,84.9,85,20,4.6,21.8,14.8,41.7,37.0,12.4,27.7,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.118,1.3,6.32,OTD 84.9% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
DHL Supply Chain,Germany,Logistics,89.4,0,51.17,10.45,766,26,26.7,7,378,86.0,92,12,4.2,51.5,25.1,5.0,44.1,5.0,26.5,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.108,1.3,12.55,OTD 86.0% below 90% SLA — review logistics SLA contract | Payment delays averaging 26 days — financial stress signal | Strategic partner — explore preferred supplier program & cost-down collaboration
DSM-Firmenich,Netherlands,Enzymes,18.7,0,52.13,5.29,757,28,20.0,5,406,87.3,91,12,4.2,56.7,12.0,17.7,21.5,12.8,26.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.107,1.3,2.6,OTD 87.3% below 90% SLA — review logistics SLA contract | Payment delays averaging 28 days — financial stress signal | Strategic partner — explore preferred supplier program & cost-down collaboration
Amcor PLC,Australia,Packaging,67.3,0,-25.27,133.78,823,11,17.2,9,445,84.3,88,30,3.8,24.7,18.6,31.6,42.3,5.0,26.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.105,1.3,9.19,OTD 84.3% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
BASF SE,Germany,Surfactants,45.2,0,51.17,10.45,786,22,29.4,10,740,88.7,92,12,4.2,43.6,10.6,22.4,36.9,5.0,25.8,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.102,1.3,5.99,Strategic partner — explore preferred supplier program & cost-down collaboration
Jabil Inc,USA,Contract Manufacturing,52.3,0,37.09,-95.71,807,12,18.1,7,768,88.0,85,20,4.6,39.5,13.2,12.9,41.9,25.7,25.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.097,1.3,6.6,Strategic partner — explore preferred supplier program & cost-down collaboration
Berry Global,USA,Packaging,54.8,0,37.09,-95.71,785,12,13.6,10,564,91.0,85,20,4.6,30.7,11.2,30.1,38.1,5.0,25.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.097,1.3,6.91,Strategic partner — explore preferred supplier program & cost-down collaboration
Mondi Group,UK,Packaging,23.4,0,55.38,-3.44,811,13,24.1,6,419,87.4,89,10,4.0,42.3,26.5,22.0,14.9,5.0,25.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.097,1.3,2.95,OTD 87.4% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Flex Ltd,Singapore,Contract Manufacturing,43.7,0,1.35,103.82,757,20,31.3,13,620,85.3,88,10,4.2,49.8,8.6,27.3,9.9,5.0,24.3,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.09,1.3,5.11,OTD 85.3% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Chemours Company,USA,Titanium Dioxide,24.6,0,37.09,-95.71,792,19,20.7,14,424,86.0,85,20,4.6,43.7,19.7,24.7,10.1,5.0,24.3,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.09,1.3,2.88,OTD 86.0% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Kerry Logistics,China,Logistics,28.4,0,35.86,104.19,789,5,14.1,18,515,90.5,55,45,3.6,30.8,47.3,11.4,15.5,12.9,24.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.089,1.3,3.29,Strategic partner — explore preferred supplier program & cost-down collaboration
CEVA Logistics,Netherlands,Logistics,43.8,0,52.13,5.29,798,19,22.6,4,695,87.9,91,12,4.2,38.0,5.7,19.0,43.5,5.0,23.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.084,1.3,4.78,OTD 87.9% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Stepan Company,USA,Surfactants,28.6,0,37.09,-95.71,792,11,13.2,6,551,85.4,85,20,4.6,43.7,12.6,11.1,37.8,5.0,22.9,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.08,1.3,2.97,OTD 85.4% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Symrise AG,Germany,Fragrances,18.4,0,51.17,10.45,790,25,23.5,18,498,90.3,92,12,4.2,53.5,14.2,5.0,29.9,5.0,22.7,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.079,1.3,1.89,Strategic partner — explore preferred supplier program & cost-down collaboration
DB Schenker,Germany,Logistics,54.7,0,51.17,10.45,847,6,14.2,8,504,87.3,92,12,4.2,16.0,5.0,22.6,40.6,5.0,18.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.055,1.3,3.91,OTD 87.3% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
Novozymes,Netherlands,Enzymes,22.3,0,52.13,5.29,792,22,12.8,7,589,85.7,91,12,4.2,42.2,15.7,6.3,14.0,5.0,18.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.054,1.3,1.57,OTD 85.7% below 90% SLA — review logistics SLA contract | Strategic partner — explore preferred supplier program & cost-down collaboration
